NR_CONTA;30002
DT. MOV;CD.OPER;OPERACAO;HIST. AUX; CONCIL.;ESPECIE;NR. DOC;CREDITO;DEBITO;SALDO;SLD. CONCIL"
31/12/2025;;;;;;;;;-19.987,56;-54.691,16
02/01/2026;266;IOF;;Sim;Dinheiro;IOF.ADIC.;;29,42;-20.016,98
02/01/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 15 COOPE;Sim;Dinheiro;;;12,75;-20.029,73
TOTAL DIA;;;;;;;0,00 ;42,17;-20.029,73;-54.733,33
09/01/2026;95;C TED-TRANSF ELET DISPON;TESTE;Sim;Outro documento;;0,01;;-20.029,72
TOTAL DIA;;;;;;;0,01 ;0,00;-20.029,72;-54.733,32
12/01/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;219474;176,91;;-19.852,81
12/01/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;219478;238,25;;-19.614,56
12/01/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 207 COOP;Sim;Dinheiro;;;385,44;-20.000,00
TOTAL DIA;;;;;;;415,16 ;385,44;-20.000,00;-54.703,60
16/01/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;220278;98,25;;-19.901,75
16/01/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 206 COOP;Sim;Dinheiro;;;98,25;-20.000,00
TOTAL DIA;;;;;;;98,25 ;98,25;-20.000,00;-54.703,60
19/01/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;220556;55,25;;-19.944,75
19/01/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;220607;167,25;;-19.777,50
19/01/2026;910;PAGAMENTO EM DINHEIRO;51 651 230 1 COOPERA;Sim;Dinheiro;;;222,50;-20.000,00
TOTAL DIA;;;;;;;222,50 ;222,50;-20.000,00;-54.703,60
21/01/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;220860;905,20;;-19.094,80
21/01/2026;910;PAGAMENTO EM DINHEIRO;62 599 1 ITAU UNIBAN;Sim;Dinheiro;;;905,20;-20.000,00
TOTAL DIA;;;;;;;905,20 ;905,20;-20.000,00;-54.703,60
22/01/2026;1040;LIQUIDACAO DE CARTAO;85302651 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;220965;78,44;;-19.921,56
22/01/2026;910;PAGAMENTO EM DINHEIRO;599 1 COOPERATIVA DE;Sim;Dinheiro;;;78,44;-20.000,00
TOTAL DIA;;;;;;;78,44 ;78,44;-20.000,00;-54.703,60
26/01/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;221634;73,51;;-19.926,49
TOTAL DIA;;;;;;;73,51 ;0,00;-19.926,49;-55.204,91
28/01/2026;95;C TED-TRANSF ELET DISPON;TESTE;Sim;Outro documento;58574;0,01;;-19.926,48
TOTAL DIA;;;;;;;0,01 ;0,00;-19.926,48;-54.834,90
29/01/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;221972;131,30;;-19.795,18
29/01/2026;910;PAGAMENTO EM DINHEIRO;5 998 1 COOPERATIVA;Sim;Dinheiro;;;574,82;-20.370,00
TOTAL DIA;;;;;;;131,30 ;574,82;-20.370,00;-54.703,60
31/01/2026;994;CREDITO BX DE FATURA - BANCO;CREDITO BX  FAT  CLIENTE;Sim;Dinheiro;;370,00;;-20.000,00
TOTAL DIA;;;;;;;370,00 ;0,00;-20.000,00;-54.703,60
02/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;222247;402,25;;-19.597,75
02/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;222236;277,25;;-19.320,50
02/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;222265;308,85;;-19.011,65
02/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;222455;279,37;;-18.732,28
02/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;222465;135,25;;-18.597,03
02/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;222435;129,25;;-18.467,78
02/02/2026;910;PAGAMENTO EM DINHEIRO;5 995 1 COOPERATIVA;Sim;Dinheiro;;;103,54;-18.571,32
02/02/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 213 COOP;Sim;Dinheiro;;;102,69;-18.674,01
02/02/2026;269;CHEQUE ESPECIAL;;Não;Outro documento;;;1.325,99;-20.000,00
TOTAL DIA;;;;;;;1.532,22 ;1.532,22;-20.000,00;-53.216,36
03/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;222625;161,25;;-19.838,75
TOTAL DIA;;;;;;;161,25 ;0,00;-19.838,75;-53.216,36
04/02/2026;910;PAGAMENTO EM DINHEIRO;5 995 200 COOPERATIV;Sim;Dinheiro;;;161,25;-20.000,00
TOTAL DIA;;;;;;;0,00 ;161,25;-20.000,00;-53.377,61
09/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;223251;89,25;;-19.910,75
