Nr. Ctapes;Dt. Movim;Cod. Historico;Tp. Documento;Cod. Empresa;Dt. Liq;Vl. Lancto;Ds. Aux;Ds. Doc;Cod. Empliq;Tp. Operação;Nr. Seqhistrelsub;Nr. Seqliq
10001;03/01/2025;910;3;1;03/01/2025;1657,59;325 796 1 TEXTIL REN;;1;D;1;744159
10001;07/01/2025;1040;3;1;07/01/2025;5596,23;85314307 VISA VISA ELECTRON CREDITO DE CARTAO;;1;C;1;744980
10001;07/01/2025;1040;3;1;07/01/2025;1954,65;86785010 VISA VISA ELECTRON CREDITO DE CARTAO;;1;C;1;744984
10001;07/01/2025;994;3;1;07/01/2025;2100;CREDITO BX  FAT  CLIENTE;;1;C;1;755232
10001;08/01/2025;1296;3;1;08/01/2025;105,15;;149547;1;C;1;746216
10001;08/01/2025;1296;3;1;08/01/2025;282,15;;149518;1;C;1;746219
10001;08/01/2025;1296;3;1;08/01/2025;46,15;;149495;1;C;1;746227
10001;09/01/2025;910;3;1;09/01/2025;3375,01;6 985 1 CLEBSON AUGU;;1;D;1;745671
10001;09/01/2025;1296;3;1;09/01/2025;9,72;;149693;1;C;1;747718
10001;10/01/2025;994;3;1;10/01/2025;1775,84;CREDITO BX  FAT  CLIENTE;;1;C;1;746250
10001;10/01/2025;994;3;1;10/01/2025;188;CREDITO BX  FAT  CLIENTE;;1;C;1;746402
10001;10/01/2025;1296;3;1;10/01/2025;1,97;;149778;1;C;1;747728
10001;11/01/2025;994;3;1;11/01/2025;48,82;CREDITO BX  FAT  CLIENTE;;1;C;1;747475
10001;13/01/2025;1296;3;1;13/01/2025;154,25;;149873;1;C;1;747745
10001;13/01/2025;1296;3;1;13/01/2025;66,83;;149960;1;C;1;747746
10001;13/01/2025;1296;3;1;13/01/2025;219,25;;149969;1;C;1;747748
10001;13/01/2025;994;3;1;13/01/2025;10,52;CREDITO BX  FAT  CLIENTE;;1;C;1;748178
10001;13/01/2025;994;3;1;13/01/2025;341,47;CREDITO BX  FAT  CLIENTE;;1;C;1;748179
10001;13/01/2025;1061;3;1;13/01/2025;8703,57;PAGTO AUTOMATICO;21977082;1;D;1;748549
10001;13/01/2025;1296;3;1;13/01/2025;111,05;;150059;1;C;1;750947
10001;14/01/2025;994;3;1;14/01/2025;136,21;CREDITO BX  FAT  CLIENTE;;1;C;1;748616
10001;14/01/2025;994;3;1;14/01/2025;372,65;CREDITO BX  FAT  CLIENTE;;1;C;1;748675
10001;14/01/2025;994;3;1;14/01/2025;58;CREDITO BX  FAT  CLIENTE;;1;C;1;748676
10001;14/01/2025;1296;3;1;14/01/2025;211,4;;150223;1;C;1;751016
10001;15/01/2025;994;3;1;15/01/2025;286,68;CREDITO BX  FAT  CLIENTE;;1;C;1;749469
10001;15/01/2025;994;3;1;15/01/2025;47;CREDITO BX  FAT  CLIENTE;;1;C;1;750010
10001;15/01/2025;910;3;1;15/01/2025;1256;865 652 3 CENTRAL DE;;1;D;1;750113
10001;15/01/2025;910;3;1;15/01/2025;30,66;35 470 1 TAM LINHAS;;1;D;1;750140
10001;15/01/2025;910;3;1;15/01/2025;55;35 391 1 TAM LINHAS;;1;D;1;750143
10001;15/01/2025;910;3;1;15/01/2025;65;35 881 1 TAM LINHAS;;1;D;1;750145
10001;15/01/2025;910;3;1;15/01/2025;104,4;35 790 1 TAM LINHAS;;1;D;1;750153
10001;15/01/2025;910;3;1;15/01/2025;194;35 773 1 TAM LINHAS;;1;D;1;750162
10001;15/01/2025;910;3;1;15/01/2025;317;35 393 1 TAM LINHAS;;1;D;1;750165
10001;15/01/2025;910;3;1;15/01/2025;348,5;35 776 1 TAM LINHAS;;1;D;1;750168
10001;15/01/2025;910;3;1;15/01/2025;804,25;13 215 18 ELITE CONS;;1;D;1;750482
10001;15/01/2025;1296;3;1;15/01/2025;148,25;;150328;1;C;1;751022
10001;15/01/2025;910;3;1;15/01/2025;121,84;713 293 3 MIRANDA CO;;1;D;1;751206
10001;15/01/2025;910;3;1;15/01/2025;155,02;6 223 6 ILUMINORTE I;;1;D;1;751208
10001;15/01/2025;910;3;1;15/01/2025;330,51;62 168 3 POTIGUAR AT;;1;D;1;751215
10001;15/01/2025;910;3;1;15/01/2025;1071,4;4 871 7 TECNO INDUST;;1;D;1;751223
10001;15/01/2025;910;3;1;15/01/2025;37,87;886 260 3 AGAE COMER;;1;D;1;751225
10001;15/01/2025;910;3;1;15/01/2025;21,41;171 8 CARTAO CAIXA;;1;D;1;753680
10001;15/01/2025;910;3;1;15/01/2025;89,8;898 8 CARTAO CAIXA;;1;D;1;753692
10001;15/01/2025;910;3;1;15/01/2025;109,98;93 581 2 CARTAO CAIX;;1;D;1;753757
10001;16/01/2025;994;3;1;16/01/2025;132,25;CREDITO BX  FAT  CLIENTE;;1;C;1;750723
10001;16/01/2025;1040;3;1;16/01/2025;1041,46;85314307 VISA VISA ELECTRON CREDITO DE CARTAO;;1;C;1;751042
10001;16/01/2025;1296;3;1;16/01/2025;285,33;;151013;1;C;1;751050
10001;16/01/2025;1296;3;1;16/01/2025;169,25;;151210;1;C;1;751056
10001;16/01/2025;1040;3;1;16/01/2025;2177,56;85314307 ELO CREDITO DE CARTAO;;1;C;1;751082
10001;17/01/2025;994;3;1;17/01/2025;246,46;CREDITO BX  FAT  CLIENTE;;1;C;1;751445
10001;17/01/2025;994;3;1;17/01/2025;1372,75;CREDITO BX  FAT  CLIENTE;;1;C;1;751447
10001;17/01/2025;1296;3;1;17/01/2025;139,25;;151573;1;C;1;752379
10001;17/01/2025;1296;3;1;17/01/2025;67,34;;151619;1;C;1;752380
10001;17/01/2025;1296;3;1;17/01/2025;26,36;;151604;1;C;1;752383
10001;17/01/2025;910;3;1;17/01/2025;218,19;3 214 4 CARTAO DE CR;;1;D;1;753894
10001;17/01/2025;910;3;1;17/01/2025;250,23;5 982 1 CARTAO DE CR;;1;D;1;753895
10001;20/01/2025;994;3;1;20/01/2025;99,1;CREDITO BX  FAT  CLIENTE;;1;C;1;752924
